2022-09-01 08:06:12,558 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:06:12,558 , INFO:20 , c_to_f , Info log information
2022-09-01 08:06:12,558 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:06:12] "GET /?celsius= HTTP/1.1" 200 -
2022-09-01 08:06:14,077 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:06:14,077 , INFO:20 , c_to_f , Info log information
2022-09-01 08:06:14,077 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:06:14] "GET /?celsius=20 HTTP/1.1" 200 -
2022-09-01 08:06:14,702 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:06:14,702 , INFO:20 , c_to_f , Info log information
2022-09-01 08:06:14,703 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:06:14] "GET /?celsius= HTTP/1.1" 200 -
2022-09-01 08:37:30,448 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:37:30,451 , INFO:20 , c_to_f , Info log information
2022-09-01 08:37:30,451 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:37:30] "GET /?celsius= HTTP/1.1" 200 -
2022-09-01 08:42:49,682 , INFO:20 , werkzeug , [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.31.27.208:5000
2022-09-01 08:42:49,682 , INFO:20 , werkzeug , [33mPress CTRL+C to quit[0m
2022-09-01 08:42:49,684 , INFO:20 , werkzeug ,  * Restarting with stat
2022-09-01 08:42:49,879 , WARNING:30 , werkzeug ,  * Debugger is active!
2022-09-01 08:42:49,881 , INFO:20 , werkzeug ,  * Debugger PIN: 960-461-402
2022-09-01 08:43:01,735 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:43:01,735 , INFO:20 , c_to_f , Info log information
